Opcode,Mnemonic,Addressing,Cycle,Symbolic Code,W2,W1,W0
C3,DCP,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
C3,DCP,"(ZP,X)",6,DEC(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
C3,DCP,"(ZP,X)",7,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
C4,CPY,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C4,CPY,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C4,CPY,ZP,2,ADL := DL,0038,0400,0000
C4,CPY,ZP,3,"DL := *{zeropage}; CMP(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,800A,0012
C5,CMP,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C5,CMP,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C5,CMP,ZP,2,ADL := DL,0038,0400,0000
C5,CMP,ZP,3,"DL := *{zeropage}; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
C6,DEC,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C6,DEC,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C6,DEC,ZP,2,ADL := DL,0038,0400,0000
C6,DEC,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
C6,DEC,ZP,4,DEC(TMP),6830,0000,0000
C6,DEC,ZP,5,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
C7,DCP,ZP,0,IR := *PC; PC += 1,0004,100A,0010
C7,DCP,ZP,1,DL := *PC; PC += 1,0004,100A,0010
C7,DCP,ZP,2,ADL := DL,0038,0400,0000
C7,DCP,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
C7,DCP,ZP,4,DEC(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
C7,DCP,ZP,5,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
C8,INY,Impl,0,IR := *PC; PC += 1,0004,100A,0010
C8,INY,Impl,1,INC(Y); Y := ALU_RESULT; ALU_FLAGS_LD; END,F918,0000,0002
C9,CMP,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
C9,CMP,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
C9,CMP,#Imm,2,"CMP(A, DL); ALU_FLAGS_LD; END",B838,0000,0002
CA,DEX,Impl,0,IR := *PC; PC += 1,0004,100A,0010
CA,DEX,Impl,1,DEC(X); X := ALU_RESULT; ALU_FLAGS_LD; END,FA20,0000,0002
CC,CPY,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CC,CPY,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CC,CPY,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CC,CPY,Abs,3,ADH := DL,0038,0800,0000
CC,CPY,Abs,4,"DL := *{latch} + X; CMP(Y, DL); Y := ALU_RESULT; ALU_FLAGS_LD; END",F938,320A,0012
CD,CMP,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CD,CMP,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CD,CMP,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CD,CMP,Abs,3,ADH := DL,0038,0800,0000
CD,CMP,Abs,4,"DL := *{latch} + X; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
CE,DEC,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CE,DEC,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CE,DEC,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CE,DEC,Abs,3,ADH := DL,0038,0800,0000
CE,DEC,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
CE,DEC,Abs,5,DEC(TMP),6830,0000,0000
CE,DEC,Abs,6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
CF,DCP,Abs,0,IR := *PC; PC += 1,0004,100A,0010
CF,DCP,Abs,1,DL := *PC; PC += 1,0004,100A,0010
CF,DCP,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
CF,DCP,Abs,3,ADH := DL,0038,0800,0000
CF,DCP,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
CF,DCP,Abs,5,DEC(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
CF,DCP,Abs,6,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
D0,BNE,Rel,0,IR := *PC; PC += 1,0004,100A,0010
D0,BNE,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
D0,BNE,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
D1,CMP,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
D1,CMP,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
D1,CMP,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
D1,CMP,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
D1,CMP,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
D1,CMP,"(ZP),Y",5,"DL := *{latch} + Y; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
D3,DCP,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
D3,DCP,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
D3,DCP,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
D3,DCP,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
D3,DCP,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
D3,DCP,"(ZP),Y",5,DL := *{latch} + Y; TMP := *{latch} + Y,0000,310A,0090
D3,DCP,"(ZP),Y",6,DEC(TMP); *{latch} + Y := ALU_RESULT; DL := ALU_RESULT,7830,3105,0010
D3,DCP,"(ZP),Y",7,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
D5,CMP,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
D5,CMP,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
D5,CMP,"ZP,X",2,ADL := DL,0038,0400,0000
D5,CMP,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
D5,CMP,"ZP,X",4,"DL := *{zeropage}; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
D6,DEC,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
D6,DEC,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
D6,DEC,"ZP,X",2,ADL := DL,0038,0400,0000
D6,DEC,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
D6,DEC,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
D6,DEC,"ZP,X",5,DEC(TMP),6830,0000,0000
D6,DEC,"ZP,X",6,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
D7,DCP,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
D7,DCP,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
D7,DCP,"ZP,X",2,ADL := DL,0038,0400,0000
D7,DCP,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
D7,DCP,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
D7,DCP,"ZP,X",5,DEC(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
D7,DCP,"ZP,X",6,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
D8,CLD,Impl,0,IR := *PC; PC += 1,0004,100A,0010
D8,CLD,Impl,1,CLRF(D); END,0000,0000,0802
D9,CMP,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
D9,CMP,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
D9,CMP,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
D9,CMP,"Abs,Y",3,ADH := DL,0038,0800,0000
D9,CMP,"Abs,Y",4,"DL := *{latch} + X; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
DB,DCP,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
DB,DCP,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
DB,DCP,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
DB,DCP,"Abs,Y",3,ADH := DL,0038,0800,0000
DB,DCP,"Abs,Y",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
DB,DCP,"Abs,Y",5,DEC(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
DB,DCP,"Abs,Y",6,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
DD,CMP,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
DD,CMP,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
DD,CMP,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
DD,CMP,"Abs,X",3,ADH := DL,0038,0800,0000
DD,CMP,"Abs,X",4,"DL := *{latch} + X; CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
DE,DEC,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
DE,DEC,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
DE,DEC,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
DE,DEC,"Abs,X",3,ADH := DL,0038,0800,0000
DE,DEC,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
DE,DEC,"Abs,X",5,DEC(TMP),6830,0000,0000
DE,DEC,"Abs,X",6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
DF,DCP,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
DF,DCP,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
DF,DCP,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
DF,DCP,"Abs,X",3,ADH := DL,0038,0800,0000
DF,DCP,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
DF,DCP,"Abs,X",5,DEC(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
DF,DCP,"Abs,X",6,"CMP(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
E0,CPX,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
E0,CPX,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
E0,CPX,#Imm,2,"CMP(X, DL); ALU_FLAGS_LD; END",B838,0000,0002
E1,SBC,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
E1,SBC,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
E1,SBC,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
E1,SBC,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
E1,SBC,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
E1,SBC,"(ZP,X)",5,"DL := *{latch}; SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,300A,0012
E3,ISC,"(ZP,X)",0,IR := *PC; PC += 1,0004,100A,0010
E3,ISC,"(ZP,X)",1,DL := *PC; PC += 1,0004,100A,0010
E3,ISC,"(ZP,X)",2,ADL := {calculate_zp_x_pointer}; DL := *{zeropage_indirect},0000,940A,0010
E3,ISC,"(ZP,X)",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
E3,ISC,"(ZP,X)",4,ADH := DL; ADL := TMP,0030,0C00,0000
E3,ISC,"(ZP,X)",5,DL := *{latch}; TMP := *{latch},0000,300A,0090
E3,ISC,"(ZP,X)",6,INC(TMP); *{latch} := ALU_RESULT; DL := ALU_RESULT,7830,3005,0010
E3,ISC,"(ZP,X)",7,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
E4,CPX,ZP,0,IR := *PC; PC += 1,0004,100A,0010
E4,CPX,ZP,1,DL := *PC; PC += 1,0004,100A,0010
E4,CPX,ZP,2,ADL := DL,0038,0400,0000
E4,CPX,ZP,3,"DL := *{zeropage}; CMP(X, DL); X := ALU_RESULT; ALU_FLAGS_LD; END",FA38,800A,0012
E5,SBC,ZP,0,IR := *PC; PC += 1,0004,100A,0010
E5,SBC,ZP,1,DL := *PC; PC += 1,0004,100A,0010
E5,SBC,ZP,2,ADL := DL,0038,0400,0000
E5,SBC,ZP,3,"DL := *{zeropage}; SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
E6,INC,ZP,0,IR := *PC; PC += 1,0004,100A,0010
E6,INC,ZP,1,DL := *PC; PC += 1,0004,100A,0010
E6,INC,ZP,2,ADL := DL,0038,0400,0000
E6,INC,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
E6,INC,ZP,4,INC(TMP),6030,0000,0000
E6,INC,ZP,5,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
E7,ISC,ZP,0,IR := *PC; PC += 1,0004,100A,0010
E7,ISC,ZP,1,DL := *PC; PC += 1,0004,100A,0010
E7,ISC,ZP,2,ADL := DL,0038,0400,0000
E7,ISC,ZP,3,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
E7,ISC,ZP,4,INC(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
E7,ISC,ZP,5,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
E8,INX,Impl,0,IR := *PC; PC += 1,0004,100A,0010
E8,INX,Impl,1,INC(X); X := ALU_RESULT; ALU_FLAGS_LD; END,FA20,0000,0002
E9,SBC,#Imm,0,IR := *PC; PC += 1,0004,100A,0010
E9,SBC,#Imm,1,DL := *PC; PC += 1,0004,100A,0010
E9,SBC,#Imm,2,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
EA,NOP,Impl,0,IR := *PC; PC += 1,0004,100A,0010
EA,NOP,Impl,1,END,0000,0000,0002
EC,CPX,Abs,0,IR := *PC; PC += 1,0004,100A,0010
EC,CPX,Abs,1,DL := *PC; PC += 1,0004,100A,0010
EC,CPX,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
EC,CPX,Abs,3,ADH := DL,0038,0800,0000
EC,CPX,Abs,4,"DL := *{latch} + X; CMP(X, DL); X := ALU_RESULT; ALU_FLAGS_LD; END",FA38,320A,0012
ED,SBC,Abs,0,IR := *PC; PC += 1,0004,100A,0010
ED,SBC,Abs,1,DL := *PC; PC += 1,0004,100A,0010
ED,SBC,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
ED,SBC,Abs,3,ADH := DL,0038,0800,0000
ED,SBC,Abs,4,"DL := *{latch} + X; SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
EE,INC,Abs,0,IR := *PC; PC += 1,0004,100A,0010
EE,INC,Abs,1,DL := *PC; PC += 1,0004,100A,0010
EE,INC,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
EE,INC,Abs,3,ADH := DL,0038,0800,0000
EE,INC,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
EE,INC,Abs,5,INC(TMP),6030,0000,0000
EE,INC,Abs,6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
EF,ISC,Abs,0,IR := *PC; PC += 1,0004,100A,0010
EF,ISC,Abs,1,DL := *PC; PC += 1,0004,100A,0010
EF,ISC,Abs,2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
EF,ISC,Abs,3,ADH := DL,0038,0800,0000
EF,ISC,Abs,4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
EF,ISC,Abs,5,INC(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
EF,ISC,Abs,6,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
F0,BEQ,Rel,0,IR := *PC; PC += 1,0004,100A,0010
F0,BEQ,Rel,1,ADL := *PC; PC += 1; TEST_BRANCH_EN; END,0004,140A,001A
F0,BEQ,Rel,2,PC := {pc_plus_offset}; END,0002,8000,0012
F1,SBC,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
F1,SBC,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
F1,SBC,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
F1,SBC,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
F1,SBC,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
F1,SBC,"(ZP),Y",5,"DL := *{latch} + Y; SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,310A,0012
F3,ISC,"(ZP),Y",0,IR := *PC; PC += 1,0004,100A,0010
F3,ISC,"(ZP),Y",1,DL := *PC; PC += 1,0004,100A,0010
F3,ISC,"(ZP),Y",2,ADL := DL; DL := *{zeropage_indirect},0038,940A,0010
F3,ISC,"(ZP),Y",3,TMP := DL; DL := *{zeropage_indirect_inc},0038,A00A,0090
F3,ISC,"(ZP),Y",4,ADH := DL; ADL := TMP,0030,0C00,0000
F3,ISC,"(ZP),Y",5,DL := *{latch} + Y; TMP := *{latch} + Y,0000,310A,0090
F3,ISC,"(ZP),Y",6,INC(TMP); *{latch} + Y := ALU_RESULT; DL := ALU_RESULT,7830,3105,0010
F3,ISC,"(ZP),Y",7,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
F5,SBC,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
F5,SBC,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
F5,SBC,"ZP,X",2,ADL := DL,0038,0400,0000
F5,SBC,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
F5,SBC,"ZP,X",4,"DL := *{zeropage}; SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,800A,0012
F6,INC,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
F6,INC,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
F6,INC,"ZP,X",2,ADL := DL,0038,0400,0000
F6,INC,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
F6,INC,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
F6,INC,"ZP,X",5,INC(TMP),6030,0000,0000
F6,INC,"ZP,X",6,*{zeropage} := ALU_RESULT; ALU_FLAGS_LD; END,F800,8005,0012
F7,ISC,"ZP,X",0,IR := *PC; PC += 1,0004,100A,0010
F7,ISC,"ZP,X",1,DL := *PC; PC += 1,0004,100A,0010
F7,ISC,"ZP,X",2,ADL := DL,0038,0400,0000
F7,ISC,"ZP,X",3,DL := *{zeropage} + X; ADL := DL,0038,860A,0010
F7,ISC,"ZP,X",4,DL := *{zeropage}; TMP := *{zeropage},0000,800A,0090
F7,ISC,"ZP,X",5,INC(TMP); *{zeropage} := ALU_RESULT; DL := ALU_RESULT,7830,8005,0010
F7,ISC,"ZP,X",6,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
F8,SED,Impl,0,IR := *PC; PC += 1,0004,100A,0010
F8,SED,Impl,1,SETF(D); END,0000,0000,1002
F9,SBC,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
F9,SBC,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
F9,SBC,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
F9,SBC,"Abs,Y",3,ADH := DL,0038,0800,0000
F9,SBC,"Abs,Y",4,"DL := *{latch} + X; SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
FB,ISC,"Abs,Y",0,IR := *PC; PC += 1,0004,100A,0010
FB,ISC,"Abs,Y",1,DL := *PC; PC += 1,0004,100A,0010
FB,ISC,"Abs,Y",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
FB,ISC,"Abs,Y",3,ADH := DL,0038,0800,0000
FB,ISC,"Abs,Y",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
FB,ISC,"Abs,Y",5,INC(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
FB,ISC,"Abs,Y",6,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
FD,SBC,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
FD,SBC,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
FD,SBC,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
FD,SBC,"Abs,X",3,ADH := DL,0038,0800,0000
FD,SBC,"Abs,X",4,"DL := *{latch} + X; SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,320A,0012
FE,INC,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
FE,INC,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
FE,INC,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
FE,INC,"Abs,X",3,ADH := DL,0038,0800,0000
FE,INC,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
FE,INC,"Abs,X",5,INC(TMP),6030,0000,0000
FE,INC,"Abs,X",6,*{latch} + X := ALU_RESULT; ALU_FLAGS_LD; END,F800,3205,0012
FF,ISC,"Abs,X",0,IR := *PC; PC += 1,0004,100A,0010
FF,ISC,"Abs,X",1,DL := *PC; PC += 1,0004,100A,0010
FF,ISC,"Abs,X",2,ADL := DL; DL := *PC; PC += 1,003C,140A,0010
FF,ISC,"Abs,X",3,ADH := DL,0038,0800,0000
FF,ISC,"Abs,X",4,DL := *{latch} + X; TMP := *{latch} + X,0000,320A,0090
FF,ISC,"Abs,X",5,INC(TMP); *{latch} + X := ALU_RESULT; DL := ALU_RESULT,7830,3205,0010
FF,ISC,"Abs,X",6,"SBC(A, DL); A := ALU_RESULT; ALU_FLAGS_LD; END",FC38,0000,0002
